Tên xe,Hãng xe,Dòng xe,Loại xe,Dung tích xe,Xuất xứ,Năm đăng ký,Chính sách bảo hành,Giá,Tên cửa hàng,Địa chỉ,Đánh giá,Đang bán,Đã bán
"xe cup 83,50cc Victoria mới bốc thăm trúng thưởng2024Xe sốMới15.800.000 đ6 ngày trước•Quận Tân Phú",Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,15.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Sirius 50cc Victoria bốc thăm trúng thưởng xe2024Xe sốMới15.800.000 đ6 ngày trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,15.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
cúp đài Loan 87/50 mới 100% bốc thăm trúng thưởng2024Xe sốMới14.800.000 đ6 ngày trước•Quận Tân Phú,Hãng xe:Honda,Dòng xe:Cub,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Xe ex 155 2024 bản màu nâu sữa biển thành phố2024Tay côn/MotoMới43.000.000 đ6 ngày trước•Thành phố Thủ Đức,Hãng xe:Yamaha,Dòng xe:Exciter,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,43.000.000 đ,ngonhpro,"Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,1đang bán,6đã bán
Scoopy 110cc Nhập Indo2024Tay gaMới39.500.000 đ6 ngày trước•Quận 10,Hãng xe:Honda,Dòng xe:Scoopy,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,39.500.000 đ,Phúc Hải,"Phường 13, Quận 10, Tp Hồ Chí Minh",,3đang bán,0đã bán
"BÁN XE MỚI 50cc,tặng xe 20 triệu2024Tay gaMới14.800.000 đ6 ngày trước•Quận Tân Phú",Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
"Airblade trả trước 5tr | Lãi suât 0,79% - vay tiền2024Tay gaMới4.999.999 đ6 ngày trước•Quận 11",Hãng xe:Honda,Dòng xe:Air Blade,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,4.999.999 đ,Hiếu Xe Trả Góp,"Phường 5, Quận 11, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
xe vespa50cc bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đ7 ngày trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
sh350 mới 100%2024Tay gaMới140.000.000 đ1 tuần trước•Quận Bình Thạnh,Hãng xe:Honda,Dòng xe:SH,Loại xe:Tay ga,Dung tích xe:Trên 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,140.000.000 đ,Phi Trần,"Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh",2.4,8đang bán,13đã bán
Vepsa Victoria 50cc bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đ1 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
mionr 50cc bốc thăm trúng thưởng xe2024Tay gaMới17.500.000 đ1 tuần trước•Quận Tân Phú,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,17.500.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Honda Wave | Trả trước 0Đ | Hỗ trợ vay tiền mặt2024Xe sốMới1.999.999 đ1 tuần trước•Quận 8,Hãng xe:Honda,Dòng xe:Wave,Loại xe:Xe số,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,1.999.999 đ,Hiếu Xe Trả Góp,"Phường 3, Quận 8, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
Yaz Sườn Lốc Zin(full đồ zin xé bịch)2024Tay côn/MotoMới75.000.000 đ1 tuần trước•Huyện Hóc Môn,Hãng xe:Yamaha,Dòng xe:YAZ,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,75.000.000 đ,Sang Yaz,"Xã Trung Chánh, Huyện Hóc Môn, Tp Hồ Chí Minh",5,1đang bán,4đã bán
VESPA CHÍNH CHỦ2001Tay côn/MotoMới100.000.000 đ1 tuần trước•Quận Bình Thạnh,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2001,Chính sách bảo hành:Bảo hành hãng,100.000.000 đ,Kyo,"Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",,1đang bán,0đã bán
vespa xăng victoria bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đ1 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
xe Wave 50cc mới thăm trúng thưởng xe2024Xe sốMới14.800.000 đ1 tuần trước•Quận Tân Phú,Hãng xe:Honda,Dòng xe:Wave,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Yamaha yaz 125 xanh movistar mới 95%2023Tay côn/MotoMới36.000.000 đ1 tuần trước•Quận 3,Hãng xe:Yamaha,Dòng xe:YAZ,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2023,Chính sách bảo hành:Bảo hành hãng,36.000.000 đ,Hưng Phát,"Phường 3, Quận 3, Tp Hồ Chí Minh",,7đang bán,0đã bán
Vespa victory 50cc bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đ1 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
sh 350 new 100%2022Tay gaMới148.000.000 đ1 tuần trước•Quận Gò Vấp,Hãng xe:Honda,Dòng xe:SH,Loại xe:Tay ga,Dung tích xe:Trên 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2022,Chính sách bảo hành:Bảo hành hãng,148.000.000 đ,Quân,"Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",5,1đang bán,0đã bán
Vawe 50cc bốc thăm trúng thưởng xe2024Xe sốMới14.800.000 đ1 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
"Cần góp cửa hàng xe future 125 fi, giá tầm 12t2015Xe sốMới12.000.000 đ1 tuần trước•Huyện Hóc Môn",Hãng xe:Honda,Dòng xe:Future,Loại xe:Xe số,Dung tích xe:Không biết rõ,Xuất xứ:Nhật Bản,Năm đăng ký:2015,Chính sách bảo hành:Bảo hành hãng,12.000.000 đ,dieu,"Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",,1đang bán,0đã bán
Suzuki rgx 2003 vàng trắng mới 98%2023Tay côn/MotoMới26.800.000 đ1 tuần trước•Quận 3,Hãng xe:Suzuki,Dòng xe:Sport / Xipo,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2023,Chính sách bảo hành:Bảo hành hãng,26.800.000 đ,Hưng Phát,"Phường 3, Quận 3, Tp Hồ Chí Minh",,7đang bán,0đã bán
"Xe Crea victora 50cc, bốc thăm trúng thưởng xe2024Tay gaMới20.000.000 đ1 tuần trước•Quận Tân Phú",Hãng xe:Honda,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,20.000.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
"SHMODE | Trả góp chỉ 0,79% | Hỗ trợ vay tiêu dùng2024Tay gaMới15.000.000 đ1 tuần trước•Quận 8",Hãng xe:Honda,Dòng xe:SH Mode,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,15.000.000 đ,Hiếu Xe Trả Góp,"Phường 3, Quận 8, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
"Gogo 50cc mới 100 %, bốc thăm trúng thưởng xe2024Tay gaMới17.500.000 đ1 tuần trước•Quận Tân Phú",Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,17.500.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Yamaha yaz 125 đen mới 95%2023Tay côn/MotoMới33.000.000 đ1 tuần trước•Quận 3,Hãng xe:Yamaha,Dòng xe:YAZ,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2023,Chính sách bảo hành:Bảo hành hãng,33.000.000 đ,Hưng Phát,"Phường 3, Quận 3, Tp Hồ Chí Minh",,7đang bán,0đã bán
xe crea 50cc bốc thăm trúng thưởng xe2024Tay gaMới22.800.000 đ1 tuần trước•Quận Tân Phú,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,22.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
xe ga 50cc Victoria bốc thăm trúng thưởng2024Tay gaMới21.800.000 đ1 tuần trước•Quận Tân Phú,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Super Cub 125 Thái Lan 20252024Xe sốMới116.000.000 đ2 tuần trước•Quận 10,Hãng xe:Honda,Dòng xe:Cub,Loại xe:Xe số,Dung tích xe:100 - 175 cc,Xuất xứ:Thái Lan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,116.000.000 đ,Head Dân Phương,"Phường 11, Quận 10, Tp Hồ Chí Minh",,1đang bán,0đã bán
💥 Harley-Davidson Breakout Màu Bạc - Atlas Silver2024Tay côn/MotoMới949.000.000 đ2 tuần trước•Thành phố Thủ Đức,Hãng xe:Harley Davidson,Dòng xe:Softail,Loại xe:Tay côn/Moto,Dung tích xe:Trên 175 cc,Xuất xứ:Thái Lan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,949.000.000 đ,Tùng Nguyễn Harley,"Phường An Lợi Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",5,11đang bán,4đã bán
Vespa VERA S 50cc bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:Piaggio,Dòng xe:Vespa,Loại xe:Tay ga,Dung tích xe:50 - 100 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
+36sh350 new đỏ2024Tay gaMới128.800.000 đ2 tuần trước•Quận Bình ThạnhPhi Trần2.413đã bán8đang bánBấm để hiện sốChat,Hãng xe:Honda,Dòng xe:SH,Loại xe:Tay ga,Dung tích xe:Trên 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,128.800.000 đ,Phi Trần,"Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh",2.4,8đang bán,13đã bán
Sirius Victoria 50cc bốc thăm trúng thưởng xe2024Xe sốMới15.800.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,15.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Cup 50cc Victoria bốc thăm trúng thưởng2024Xe sốMới15.800.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,15.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
XE VESPA ( VERA ) 50cc MỚI 100%2024Tay gaMới21.800.000 đ2 tuần trước•Quận 6,Hãng xe:Piaggio,Dòng xe:Vespa,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,Cửa Hàng Xe Máy TRƯỚC NGUYỄN,"Phường 10, Quận 6, Tp Hồ Chí Minh",4.3,7đang bán,112đã bán
Ex 155 phanh Abs bản cc. hỗ trợ mua góp2024Tay côn/MotoMới49.000.000 đ2 tuần trước•Huyện Củ Chi,Hãng xe:Yamaha,Dòng xe:Exciter,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,49.000.000 đ,Cửa hàng Xe Máy Nhập Khẩu Củ Chi,"Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh",,9đang bán,0đã bán
Shak 125 SWM bs tp chính chủ xe đẹp2011Tay gaMới9.500.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:SYM,Dòng xe:Shark,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2011,Chính sách bảo hành:Bảo hành hãng,9.500.000 đ,Xe Máy Lâm 290,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",5,5đang bán,236đã bán
⚜️🏍️ Harley-Davidson Sportster S 1250cc 🏍️💥2024Tay côn/MotoMới639.000.000 đ2 tuần trước•Quận 7,Hãng xe:Harley Davidson,Dòng xe:Sportster,Loại xe:Tay côn/Moto,Dung tích xe:Trên 175 cc,Xuất xứ:Thái Lan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,639.000.000 đ,Tùng Nguyễn Harley,"Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",5,11đang bán,4đã bán
Cup 82/50cc mới bốc thăm trúng thưởng xe2024Xe sốMới14.800.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
VERA S 50cc mới bốc thăm trúng thưởng xe 20 triệu2024Tay gaMới21.800.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:Detech,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
xe Vawe 50 cc bốc thăm trúng thưởng xe2024Xe sốMới14.800.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Bán gấp2018Tay gaMới30.000.000 đ2 tuần trước•Quận 12,Hãng xe:Suzuki,Dòng xe:GSX,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nhật Bản,Năm đăng ký:2018,Chính sách bảo hành:Bảo hành hãng,30.000.000 đ,Lê văn cử,"Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",,2đang bán,0đã bán
Vespa s 50cc mới 100 % bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
+36[SALES] HONDA CB650R 2024 E-CLUTCH NEW CHÍNH HÃNG2024Tay côn/MotoMới269.990.000 đ2 tuần trước•Quận 11Lương Thị Hồng Thắm5.01đã bán2đang bánBấm để hiện sốChat,Hãng xe:Honda,Dòng xe:CB,Loại xe:Tay côn/Moto,Dung tích xe:Trên 175 cc,Xuất xứ:Nhật Bản,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,269.990.000 đ,Lương Thị Hồng Thắm,"Phường 13, Quận 11, Tp Hồ Chí Minh",5,2đang bán,1đã bán
xe vario nhập khẩu indo . hỗ trợ mua góp2024Tay gaMới40.000.000 đ2 tuần trước•Huyện Củ Chi,Hãng xe:Honda,Dòng xe:Vario,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,40.000.000 đ,Cửa hàng Xe Máy Nhập Khẩu Củ Chi,"Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh",,9đang bán,0đã bán
xe vawe 50cc bốc thăm trúng thưởng xe2024Xe sốMới14.800.000 đ2 tuần trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Scoopy trả trước 5tr | Giữ cavet | Vay tiền mặt2023Tay gaMới38.500.000 đ2 tuần trước•Quận 8,Hãng xe:Honda,Dòng xe:Scoopy,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Thái Lan,Năm đăng ký:2023,Chính sách bảo hành:Bảo hành hãng,38.500.000 đ,Hiếu Xe Trả Góp,"Phường 2, Quận 8, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
xe kới đẹp lenh keng không cần phải bàn2024Xe sốMới34.000.000 đ2 tuần trước•Thành phố Thủ Đức,Hãng xe:Honda,Dòng xe:Future,Loại xe:Xe số,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,34.000.000 đ,Phuongnguyen,"Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,1đang bán,1đã bán
cần bán lại xe máy 50cc2024Tay gaMới19.700.000 đ2 tuần trước•Quận Gò Vấp,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:50 - 100 cc,Xuất xứ:Hàn Quốc,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,19.700.000 đ,Jenny,"Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",5,3đang bán,118đã bán
🏍️ CB650R - CBR650R E - Clutch new 2024 🏍️2024Tay côn/MotoMới269.990.000 đ2 tuần trước•Quận 11,Hãng xe:Honda,Dòng xe:CB,Loại xe:Tay côn/Moto,Dung tích xe:Trên 175 cc,Xuất xứ:Thái Lan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,269.990.000 đ,Phan Trọng Ấn,"Phường 13, Quận 11, Tp Hồ Chí Minh",,1đang bán,0đã bán
